title,author,genre,keywords,description
"Harry Potter and the Philosopher's Stone","J.K. Rowling","Fantasy","magic wizard school friendship","A young wizard discovers his magical abilities and begins his journey at a school of magic."
"Harry Potter and the Chamber of Secrets","J.K. Rowling","Fantasy","magic wizard school mystery friendship","A young wizard returns to school and investigates a mysterious hidden chamber."
"Harry Potter and the Prisoner of Azkaban","J.K. Rowling","Fantasy","magic wizard school adventure mystery","A young wizard learns about his past while facing a dangerous escaped prisoner."
"The Hobbit","J.R.R. Tolkien","Fantasy","adventure magic dragon journey","A hobbit leaves his peaceful home and joins an adventure involving dwarves and a dragon."
"The Lord of the Rings","J.R.R. Tolkien","Fantasy","adventure magic friendship journey","A group of companions travels across a dangerous land to destroy a powerful ring."
"The Chronicles of Narnia","C.S. Lewis","Fantasy","magic adventure children kingdom","A group of children discovers a magical world and becomes involved in an epic battle."
"Percy Jackson and the Lightning Thief","Rick Riordan","Fantasy","demigod mythology adventure friendship","A teenager discovers that he is a demigod and begins a dangerous mythological adventure."
"The Hunger Games","Suzanne Collins","Young Adult","dystopian survival competition rebellion","A young woman is forced to participate in a dangerous competition in a dystopian society."
"Divergent","Veronica Roth","Young Adult","dystopian action survival identity","A young woman discovers that she does not fit into the strict divisions of her society."
"The Maze Runner","James Dashner","Young Adult","dystopian mystery survival adventure","A teenager wakes up in a mysterious maze with no memory of his past."
"Pride and Prejudice","Jane Austen","Romance","love marriage society family","A witty young woman navigates relationships and social expectations while discovering love."
"Jane Eyre","Charlotte Bronte","Romance","love mystery independence family","A young woman faces hardship and discovers love while working as a governess."
"Little Women","Louisa May Alcott","Classic","family sisters love growing up friendship","Four sisters grow up together while facing family challenges and personal dreams."
"The Great Gatsby","F. Scott Fitzgerald","Classic","love wealth society tragedy","A mysterious millionaire becomes involved in a complicated relationship surrounded by wealth and social ambition."
"To Kill a Mockingbird","Harper Lee","Classic","justice family courage childhood","A young girl learns about justice and morality through events in her community."
"1984","George Orwell","Dystopian","government surveillance freedom control","A man lives under a totalitarian government that controls information and personal freedom."
"Animal Farm","George Orwell","Political Fiction","animals revolution power government society","Animals create their own society after rebelling against humans but gradually face new forms of control."
"The Alchemist","Paulo Coelho","Adventure","journey dreams destiny self discovery","A young shepherd travels in search of treasure and discovers lessons about dreams and life."
"The Kite Runner","Khaled Hosseini","Drama","friendship family guilt redemption","A man looks back on his childhood friendship and seeks redemption for past mistakes."
"The Book Thief","Markus Zusak","Historical Fiction","war books friendship courage Germany","A young girl finds comfort in books while living through wartime Germany."
"The Fault in Our Stars","John Green","Romance","love friendship teenagers emotional","A teenage girl meets a boy who changes her perspective on life and relationships."
"Me Before You","Jojo Moyes","Romance","love relationship family emotional","A young woman forms an unexpected relationship that changes both their lives."
"The Da Vinci Code","Dan Brown","Mystery","mystery symbols secret history conspiracy","A professor investigates mysterious symbols and uncovers a hidden historical secret."
"Sherlock Holmes","Arthur Conan Doyle","Mystery","detective crime investigation mystery","A brilliant detective solves difficult mysteries using observation and reasoning."
"Murder on the Orient Express","Agatha Christie","Mystery","detective murder investigation train mystery","A detective investigates a murder that occurs on a luxury train."
"The Silent Patient","Alex Michaelides","Thriller","mystery psychological crime investigation","A therapist investigates why a woman stopped speaking after a mysterious crime."
"The Girl on the Train","Paula Hawkins","Thriller","mystery psychological crime investigation","A woman becomes involved in a mysterious investigation after witnessing something from a train."
"Atomic Habits","James Clear","Self Help","habits productivity improvement goals discipline","A practical guide to building good habits and improving daily behavior."
"The 7 Habits of Highly Effective People","Stephen Covey","Self Help","productivity leadership habits success","A guide to developing effective habits for personal and professional growth."
"Rich Dad Poor Dad","Robert Kiyosaki","Finance","money investment wealth business financial","A book about financial education, investing, and developing better money habits."
